representation,condition,metric,k,weighted,accuracy
серое,без шума,l1,1,False,0.9
серое,без шума,l1,1,True,0.9
серое,без шума,l1,3,False,0.8833333333333333
серое,без шума,l1,3,True,0.89
серое,без шума,l1,5,False,0.8766666666666667
серое,без шума,l1,5,True,0.8933333333333333
серое,без шума,l1,7,False,0.88
серое,без шума,l1,7,True,0.8833333333333333
серое,без шума,l1,9,False,0.8733333333333333
серое,без шума,l1,9,True,0.8733333333333333
серое,без шума,l2,1,False,0.93
серое,без шума,l2,1,True,0.93
серое,без шума,l2,3,False,0.9066666666666666
серое,без шума,l2,3,True,0.9166666666666666
серое,без шума,l2,5,False,0.8866666666666667
серое,без шума,l2,5,True,0.9033333333333333
серое,без шума,l2,7,False,0.8933333333333333
серое,без шума,l2,7,True,0.8966666666666666
серое,без шума,l2,9,False,0.8733333333333333
серое,без шума,l2,9,True,0.8766666666666667
серое,без шума,linf,1,False,0.5666666666666667
серое,без шума,linf,1,True,0.5666666666666667
серое,без шума,linf,3,False,0.54
серое,без шума,linf,3,True,0.5866666666666667
серое,без шума,linf,5,False,0.54
серое,без шума,linf,5,True,0.58
серое,без шума,linf,7,False,0.55
серое,без шума,linf,7,True,0.58
серое,без шума,linf,9,False,0.5333333333333333
серое,без шума,linf,9,True,0.5533333333333333
серое,без шума,cosine,1,False,0.91
серое,без шума,cosine,1,True,0.91
серое,без шума,cosine,3,False,0.91
серое,без шума,cosine,3,True,0.92
серое,без шума,cosine,5,False,0.9
серое,без шума,cosine,5,True,0.91
серое,без шума,cosine,7,False,0.9033333333333333
серое,без шума,cosine,7,True,0.9033333333333333
серое,без шума,cosine,9,False,0.8933333333333333
серое,без шума,cosine,9,True,0.8966666666666666
серое,равномерный p=0.1,l1,1,False,0.9
серое,равномерный p=0.1,l1,1,True,0.9
серое,равномерный p=0.1,l1,3,False,0.8833333333333333
серое,равномерный p=0.1,l1,3,True,0.8866666666666667
серое,равномерный p=0.1,l1,5,False,0.8933333333333333
серое,равномерный p=0.1,l1,5,True,0.8933333333333333
серое,равномерный p=0.1,l1,7,False,0.88
серое,равномерный p=0.1,l1,7,True,0.88
серое,равномерный p=0.1,l1,9,False,0.87
серое,равномерный p=0.1,l1,9,True,0.8666666666666667
серое,равномерный p=0.1,l2,1,False,0.9233333333333333
серое,равномерный p=0.1,l2,1,True,0.9233333333333333
серое,равномерный p=0.1,l2,3,False,0.9
серое,равномерный p=0.1,l2,3,True,0.91
серое,равномерный p=0.1,l2,5,False,0.9
серое,равномерный p=0.1,l2,5,True,0.8966666666666666
серое,равномерный p=0.1,l2,7,False,0.8833333333333333
серое,равномерный p=0.1,l2,7,True,0.8866666666666667
серое,равномерный p=0.1,l2,9,False,0.8833333333333333
серое,равномерный p=0.1,l2,9,True,0.8866666666666667
серое,равномерный p=0.1,linf,1,False,0.37666666666666665
серое,равномерный p=0.1,linf,1,True,0.37666666666666665
серое,равномерный p=0.1,linf,3,False,0.39
серое,равномерный p=0.1,linf,3,True,0.41
серое,равномерный p=0.1,linf,5,False,0.36
серое,равномерный p=0.1,linf,5,True,0.39666666666666667
серое,равномерный p=0.1,linf,7,False,0.37666666666666665
серое,равномерный p=0.1,linf,7,True,0.4066666666666667
серое,равномерный p=0.1,linf,9,False,0.36666666666666664
