method,k,threshold,precision,recall,f1
kNN,1,,0.33126934984520123,0.5944444444444444,0.4254473161033797
ODIN,1,0.0,0.0,0.0,0.0
ODIN,1,1.0,0.1375921375921376,0.6222222222222222,0.22535211267605634
kNN,3,,0.3732394366197183,0.5888888888888889,0.4568965517241379
ODIN,3,0.0,0.0,0.0,0.0
ODIN,3,1.0,0.20701754385964913,0.3277777777777778,0.253763440860215
ODIN,3,2.0,0.1731669266770671,0.6166666666666667,0.27040194884287455
ODIN,3,3.0,0.13593256059009484,0.7166666666666667,0.22852081488042517
kNN,5,,0.3678571428571429,0.5722222222222222,0.4478260869565217
ODIN,5,0.0,0.0,0.0,0.0
ODIN,5,1.0,0.2974683544303797,0.2611111111111111,0.2781065088757396
ODIN,5,2.0,0.2612359550561798,0.5166666666666667,0.34701492537313433
ODIN,5,3.0,0.20567375886524822,0.6444444444444445,0.3118279569892473
ODIN,5,4.0,0.16124837451235371,0.6888888888888889,0.2613277133825079
ODIN,5,5.0,0.13747454175152748,0.75,0.23235800344234075
kNN,7,,0.3687707641196013,0.6166666666666667,0.4615384615384615
ODIN,7,0.0,0.0,0.0,0.0
ODIN,7,1.0,0.4,0.24444444444444444,0.30344827586206896
ODIN,7,2.0,0.30980392156862746,0.4388888888888889,0.3632183908045977
ODIN,7,3.0,0.2657894736842105,0.5611111111111111,0.36071428571428565
ODIN,7,4.0,0.21631878557874762,0.6333333333333333,0.32248939179632247
ODIN,7,5.0,0.17937219730941703,0.6666666666666666,0.2826855123674912
ODIN,7,6.0,0.15458937198067632,0.7111111111111111,0.25396825396825395
kNN,9,,0.3492063492063492,0.6111111111111112,0.4444444444444445
ODIN,9,0.0,0.0,0.0,0.0
ODIN,9,1.0,0.4805194805194805,0.20555555555555555,0.28793774319066145
ODIN,9,2.0,0.37640449438202245,0.37222222222222223,0.3743016759776536
ODIN,9,3.0,0.32517482517482516,0.5166666666666667,0.39914163090128757
ODIN,9,4.0,0.2715736040609137,0.5944444444444444,0.37282229965156793
ODIN,9,5.0,0.21832358674463936,0.6222222222222222,0.3232323232323232
ODIN,9,6.0,0.19138755980861244,0.6666666666666666,0.29739776951672864
kNN,11,,0.34355828220858897,0.6222222222222222,0.4426877470355731
ODIN,11,0.0,0.0,0.0,0.0
ODIN,11,1.0,0.509090909090909,0.15555555555555556,0.23829787234042554
ODIN,11,2.0,0.4418604651162791,0.31666666666666665,0.3689320388349514
ODIN,11,3.0,0.35071090047393366,0.4111111111111111,0.37851662404092073
ODIN,11,4.0,0.3116883116883117,0.5333333333333333,0.39344262295081966
ODIN,11,5.0,0.26354679802955666,0.5944444444444444,0.3651877133105802
ODIN,11,6.0,0.2263779527559055,0.6388888888888888,0.3343023255813953
kNN,15,,0.3273809523809524,0.6111111111111112,0.42635658914728686
ODIN,15,0.0,0.0,0.0,0.0
ODIN,15,1.0,0.5517241379310345,0.08888888888888889,0.15311004784688995
ODIN,15,2.0,0.5274725274725275,0.26666666666666666,0.35424354243542433
ODIN,15,3.0,0.45,0.35,0.39375
ODIN,15,4.0,0.3865979381443299,0.4166666666666667,0.40106951871657753
ODIN,15,5.0,0.33587786259541985,0.4888888888888889,0.3981900452488688
ODIN,15,6.0,0.29607250755287007,0.5444444444444444,0.3835616438356164
kNN,20,,0.3227665706051873,0.6222222222222222,0.4250474383301708
ODIN,20,0.0,0.0,0.0,0.0
ODIN,20,1.0,0.6666666666666666,0.06666666666666667,0.1212121212121212
ODIN,20,2.0,0.5737704918032787,0.19444444444444445,0.2904564315352697
ODIN,20,3.0,0.5543478260869565,0.2833333333333333,0.375
ODIN,20,4.0,0.4883720930232558,0.35,0.4077669902912621
ODIN,20,5.0,0.4437869822485207,0.4166666666666667,0.4297994269340974
ODIN,20,6.0,0.37668161434977576,0.4666666666666667,0.41687344913151364
