func,noise,M,lam,cv,test
cos x,равномерный,0,0.0,0.6648069198096342,0.7684962808623231
cos x,равномерный,0,1e-10,0.6648069198096342,0.7684962808623231
cos x,равномерный,0,3.1622776601683795e-10,0.6648069198096342,0.7684962808623231
cos x,равномерный,0,1e-09,0.6648069198096342,0.7684962808623231
cos x,равномерный,0,3.1622776601683795e-09,0.6648069198096342,0.7684962808623231
cos x,равномерный,0,1e-08,0.6648069198096342,0.7684962808623231
cos x,равномерный,0,3.162277660168379e-08,0.6648069198096342,0.7684962808623231
cos x,равномерный,0,1e-07,0.6648069198096342,0.7684962808623231
cos x,равномерный,0,3.162277660168379e-07,0.6648069198096342,0.7684962808623231
cos x,равномерный,0,1e-06,0.6648069198096342,0.7684962808623231
cos x,равномерный,0,3.162277660168379e-06,0.6648069198096342,0.7684962808623231
cos x,равномерный,0,1e-05,0.6648069198096342,0.7684962808623231
cos x,равномерный,0,3.1622776601683795e-05,0.6648069198096342,0.7684962808623231
cos x,равномерный,0,0.0001,0.6648069198096342,0.7684962808623231
cos x,равномерный,0,0.00031622776601683794,0.6648069198096342,0.7684962808623231
cos x,равномерный,0,0.001,0.6648069198096342,0.7684962808623231
cos x,равномерный,0,0.0031622776601683794,0.6648069198096342,0.7684962808623231
cos x,равномерный,0,0.01,0.6648069198096342,0.7684962808623231
cos x,равномерный,0,0.03162277660168379,0.6648069198096342,0.7684962808623231
cos x,равномерный,0,0.1,0.6648069198096342,0.7684962808623231
cos x,равномерный,0,0.31622776601683794,0.6648069198096342,0.7684962808623231
cos x,равномерный,0,1.0,0.6648069198096342,0.7684962808623231
cos x,равномерный,0,3.1622776601683795,0.6648069198096342,0.7684962808623231
cos x,равномерный,0,10.0,0.6648069198096342,0.7684962808623231
cos x,равномерный,0,31.622776601683793,0.6648069198096342,0.7684962808623231
cos x,равномерный,0,100.0,0.6648069198096342,0.7684962808623231
cos x,равномерный,1,0.0,0.6859397612996292,0.8029685149912384
cos x,равномерный,1,1e-10,0.6859397612987882,0.8029685149905433
cos x,равномерный,1,3.1622776601683795e-10,0.68593976129697,0.8029685149890405
cos x,равномерный,1,1e-09,0.68593976129122,0.802968514984288
cos x,равномерный,1,3.1622776601683795e-09,0.6859397612730376,0.802968514969259
cos x,равномерный,1,1e-08,0.6859397612155388,0.8029685149217337
cos x,равномерный,1,3.162277660168379e-08,0.6859397610337122,0.8029685147714452
cos x,равномерный,1,1e-07,0.6859397604587263,0.8029685142961911
cos x,равномерный,1,3.162277660168379e-07,0.6859397586404613,0.8029685127933057
cos x,равномерный,1,1e-06,0.6859397528906035,0.8029685080407662
cos x,равномерный,1,3.162277660168379e-06,0.6859397347079728,0.8029684930119241
cos x,равномерный,1,1e-05,0.6859396772095984,0.8029684454866303
cos x,равномерный,1,3.1622776601683795e-05,0.6859394953853046,0.8029682951992364
cos x,равномерный,1,0.0001,0.6859389204217128,0.8029678199565758
cos x,равномерный,1,0.00031622776601683794,0.6859371023802794,0.8029663171854031
cos x,равномерный,1,0.001,0.6859313547589695,0.8029615657863205
cos x,равномерный,1,0.0031622776601683794,0.6859131944772002,0.8029465483452864
cos x,равномерный,1,0.01,0.6858559191627853,0.8028991369184926
cos x,равномерный,1,0.03162277660168379,0.6856763119273541,0.8027499836513182
cos x,равномерный,1,0.1,0.6851231001910397,0.8022859407554985
cos x,равномерный,1,0.31622776601683794,0.6835102198967465,0.8008908978300247
cos x,равномерный,1,1.0,0.6794952122686457,0.7970995141940067
cos x,равномерный,1,3.1622776601683795,0.6727160686037879,0.789159496242795
cos x,равномерный,1,10.0,0.6670803984322634,0.7791693176100372
cos x,равномерный,1,31.622776601683793,0.665137821295207,0.7725688769881598
cos x,равномерный,1,100.0,0.664826073098994,0.769851880524774
cos x,равномерный,2,0.0,0.4211452708921035,0.2841467180156669
cos x,равномерный,2,1e-10,0.4211452708616429,0.28414671802649977
cos x,равномерный,2,3.1622776601683795e-10,0.4211452707957788,0.28414671804992336
cos x,равномерный,2,1e-09,0.4211452705874984,0.28414671812399533
cos x,равномерный,2,3.1622776601683795e-09,0.42114526992885715,0.2841467183582315
cos x,равномерный,2,1e-08,0.42114526784605105,0.2841467190989514
cos x,равномерный,2,3.162277660168379e-08,0.42114526125964014,0.28414672144131337
cos x,равномерный,2,1e-07,0.4211452404315841,0.2841467288485132
cos x,равномерный,2,3.162277660168379e-07,0.42114517456752576,0.2841467522721439
cos x,равномерный,2,1e-06,0.42114496628747167,0.28414682634425176
cos x,равномерный,2,3.162277660168379e-06,0.421144307651967,0.28414706058165745
cos x,равномерный,2,1e-05,0.4211422249021946,0.28414780131371437
cos x,равномерный,2,3.1622776601683795e-05,0.4211356390548028,0.284150143797561
cos x,равномерный,2,0.0001,0.42111481663302885,0.2841575522158539
cos x,равномерный,2,0.00031622776601683794,0.4210490088995288,0.28418098802630043
cos x,равномерный,2,0.001,0.42084129148305943,0.28425518176305503
cos x,равномерный,2,0.0031622776601683794,0.4201882631801518,0.2844906301711572
cos x,равномерный,2,0.01,0.4181609874771305,0.2852433064718926
cos x,равномерный,2,0.03162277660168379,0.41211177366150914,0.28770013159369784
cos x,равномерный,2,0.1,0.3961535350395323,0.2961041393509423
cos x,равномерный,2,0.31622776601683794,0.36803805603511996,0.3259557374994893
cos x,равномерный,2,1.0,0.38907177582118535,0.4144249128598586
cos x,равномерный,2,3.1622776601683795,0.5080908130418418,0.5616177289714873
cos x,равномерный,2,10.0,0.5974293836798933,0.6803835909044105
cos x,равномерный,2,31.622776601683793,0.6401367843651098,0.7370231334732392
cos x,равномерный,2,100.0,0.6565350521375817,0.7580717997047188
cos x,равномерный,3,0.0,0.5058539259763293,0.284938074405754
cos x,равномерный,3,1e-10,0.5058539258333482,0.28493807441685376
cos x,равномерный,3,3.1622776601683795e-10,0.5058539255241836,0.2849380744408546
cos x,равномерный,3,1e-09,0.5058539245465189,0.28493807451675185
