func,layers,hidden,params,cv,train,test,sigma
cos(2 pi x),1,"(1,)",4,0.6132791287716456,0.5503056903188481,0.6601432520240772,0.19999950553174461
cos(2 pi x),1,"(2,)",7,0.17394659133313806,0.15752664702085195,0.2205684213574921,0.19999950553174461
cos(2 pi x),1,"(3,)",10,0.17417102958540168,0.15346037999027506,0.22192517917249985,0.19999950553174461
cos(2 pi x),2,"(1, 1)",6,0.6141980824741544,0.5496187883197853,0.6577588387417315,0.19999950553174461
cos(2 pi x),2,"(1, 2)",9,0.17321605318131805,0.15708294891751,0.22041147462194985,0.19999950553174461
cos(2 pi x),2,"(1, 3)",12,0.17335101872260156,0.15699973928874417,0.22076968577528863,0.19999950553174461
cos(2 pi x),2,"(2, 1)",9,0.17455437384104275,0.15783262977278062,0.22046710777181877,0.19999950553174461
cos(2 pi x),2,"(2, 2)",13,0.17267581144858377,0.1568627554097096,0.22075236198518708,0.19999950553174461
cos(2 pi x),2,"(2, 3)",17,0.1736029474835991,0.15612898064415245,0.22140491144634417,0.19999950553174461
cos(2 pi x),2,"(3, 1)",12,0.17393245242273614,0.15601561182016158,0.22141242423424512,0.19999950553174461
cos(2 pi x),2,"(3, 2)",17,0.17401272663129283,0.1519892668220252,0.22634819016698302,0.19999950553174461
cos(2 pi x),2,"(3, 3)",22,0.17301841594142683,0.1526854426509805,0.22412543886834038,0.19999950553174461
5x^3 + x^2 + 5,1,"(1,)",4,0.5258789664928515,0.4939337826985428,0.6499440347194141,0.6000000000000001
5x^3 + x^2 + 5,1,"(2,)",7,0.5158505578766619,0.4739825368779543,0.665301395008412,0.6000000000000001
5x^3 + x^2 + 5,1,"(3,)",10,0.5075543568828141,0.4611391126714001,0.6685192016756978,0.6000000000000001
5x^3 + x^2 + 5,2,"(1, 1)",6,0.5147858947182432,0.48556054623431455,0.6523167700015715,0.6000000000000001
5x^3 + x^2 + 5,2,"(1, 2)",9,0.49749002937699105,0.4721737370500962,0.6621461691110562,0.6000000000000001
5x^3 + x^2 + 5,2,"(1, 3)",12,0.4954535523362151,0.47182443862272944,0.6619951125150595,0.6000000000000001
5x^3 + x^2 + 5,2,"(2, 1)",9,0.5102231465584979,0.47384317089177047,0.6663438834790526,0.6000000000000001
5x^3 + x^2 + 5,2,"(2, 2)",13,0.4955287359090982,0.46481519160247886,0.661014706826204,0.6000000000000001
5x^3 + x^2 + 5,2,"(2, 3)",17,0.4974177782503405,0.465394286899318,0.6621532000633639,0.6000000000000001
5x^3 + x^2 + 5,2,"(3, 1)",12,0.5095740602514995,0.47247405170598805,0.6642707365249975,0.6000000000000001
5x^3 + x^2 + 5,2,"(3, 2)",17,0.48863549891305597,0.46330338746696875,0.6631036162208965,0.6000000000000001
5x^3 + x^2 + 5,2,"(3, 3)",22,0.5061398784014274,0.4551414414371737,0.6784717563268619,0.6000000000000001
x sin(2 pi x),1,"(1,)",4,0.18786933963430244,0.18380093927756774,0.17987187129044696,0.10558597231114689
x sin(2 pi x),1,"(2,)",7,0.13213001770824367,0.09774982050560775,0.11919303261745774,0.10558597231114689
x sin(2 pi x),1,"(3,)",10,0.09963132699917299,0.08155159411365545,0.11682668159682262,0.10558597231114689
x sin(2 pi x),2,"(1, 1)",6,0.18927959196783586,0.18379991661996942,0.18042001498306062,0.10558597231114689
x sin(2 pi x),2,"(1, 2)",9,0.14305089882875704,0.12081967178579994,0.14508219236385084,0.10558597231114689
x sin(2 pi x),2,"(1, 3)",12,0.12739349787244664,0.0831582453661368,0.11693791020121529,0.10558597231114689
x sin(2 pi x),2,"(2, 1)",9,0.14602147806220142,0.1823033618926047,0.1797810549965671,0.10558597231114689
x sin(2 pi x),2,"(2, 2)",13,0.09114833608120139,0.08012775148504643,0.11780519236273207,0.10558597231114689
x sin(2 pi x),2,"(2, 3)",17,0.09098210260181405,0.0790944660599969,0.11890633854974501,0.10558597231114689
x sin(2 pi x),2,"(3, 1)",12,0.10194232959178358,0.08176507829493156,0.11648668242004043,0.10558597231114689
x sin(2 pi x),2,"(3, 2)",17,0.09101573036699365,0.07935580404471483,0.11779339549329344,0.10558597231114689
x sin(2 pi x),2,"(3, 3)",22,0.0904111987477265,0.07897076829381768,0.1187134403870225,0.10558597231114689
