stage,lr,block,n_blocks,ks,stride,pool_k,pool_s,optimizer,best_acc,last_acc,epochs_to_90,params
основная,0.005,a,1,3,1,2,2,sgd,0.918,0.918,3.0,15770
основная,0.005,a,1,5,1,2,2,sgd,0.9446666666666667,0.9446666666666667,2.0,15898
основная,0.005,a,1,7,1,2,2,sgd,0.946,0.946,2.0,16090
основная,0.005,a,2,3,1,2,2,sgd,0.9433333333333334,0.94,3.0,9098
основная,0.005,a,2,5,1,2,2,sgd,0.9573333333333334,0.954,2.0,11274
основная,0.005,a,2,7,1,2,2,sgd,0.96,0.9566666666666667,2.0,14538
основная,0.005,b,1,3,1,2,2,sgd,0.9306666666666666,0.9306666666666666,3.0,16354
основная,0.005,b,1,5,1,2,2,sgd,0.9533333333333334,0.9533333333333334,2.0,17506
основная,0.005,b,1,7,1,2,2,sgd,0.9566666666666667,0.9546666666666667,2.0,19234
основная,0.005,b,2,3,1,2,2,sgd,0.9453333333333334,0.9453333333333334,4.0,12002
основная,0.005,b,2,5,1,2,2,sgd,0.95,0.95,5.0,19298
основная,0.005,b,2,7,1,2,2,sgd,0.946,0.9426666666666667,3.0,30242
основная,0.01,a,1,3,1,2,2,sgd,0.9326666666666666,0.9326666666666666,3.0,15770
основная,0.01,a,1,5,1,2,2,sgd,0.954,0.954,2.0,15898
основная,0.01,a,1,7,1,2,2,sgd,0.9593333333333334,0.9593333333333334,2.0,16090
основная,0.01,a,2,3,1,2,2,sgd,0.9586666666666667,0.9586666666666667,2.0,9098
основная,0.01,a,2,5,1,2,2,sgd,0.9693333333333334,0.9693333333333334,1.0,11274
основная,0.01,a,2,7,1,2,2,sgd,0.968,0.968,2.0,14538
основная,0.01,b,1,3,1,2,2,sgd,0.9433333333333334,0.9433333333333334,2.0,16354
основная,0.01,b,1,5,1,2,2,sgd,0.96,0.9586666666666667,2.0,17506
основная,0.01,b,1,7,1,2,2,sgd,0.9573333333333334,0.9533333333333334,1.0,19234
основная,0.01,b,2,3,1,2,2,sgd,0.9606666666666667,0.9606666666666667,3.0,12002
основная,0.01,b,2,5,1,2,2,sgd,0.9646666666666667,0.936,3.0,19298
основная,0.01,b,2,7,1,2,2,sgd,0.9526666666666667,0.946,2.0,30242
основная,0.05,a,1,3,1,2,2,sgd,0.95,0.95,1.0,15770
основная,0.05,a,1,5,1,2,2,sgd,0.96,0.96,1.0,15898
основная,0.05,a,1,7,1,2,2,sgd,0.964,0.9406666666666667,1.0,16090
основная,0.05,a,2,3,1,2,2,sgd,0.9686666666666667,0.9686666666666667,1.0,9098
основная,0.05,a,2,5,1,2,2,sgd,0.968,0.958,1.0,11274
основная,0.05,a,2,7,1,2,2,sgd,0.9566666666666667,0.94,3.0,14538
основная,0.05,b,1,3,1,2,2,sgd,0.9473333333333334,0.9473333333333334,2.0,16354
основная,0.05,b,1,5,1,2,2,sgd,0.9473333333333334,0.9473333333333334,2.0,17506
основная,0.05,b,1,7,1,2,2,sgd,0.9346666666666666,0.9126666666666666,3.0,19234
основная,0.05,b,2,3,1,2,2,sgd,0.2853333333333333,0.11533333333333333,,12002
основная,0.05,b,2,5,1,2,2,sgd,0.9073333333333333,0.8726666666666667,5.0,19298
основная,0.05,b,2,7,1,2,2,sgd,0.11533333333333333,0.11533333333333333,,30242
основная,0.1,a,1,3,1,2,2,sgd,0.9313333333333333,0.9273333333333333,2.0,15770
основная,0.1,a,1,5,1,2,2,sgd,0.9533333333333334,0.9326666666666666,1.0,15898
основная,0.1,a,1,7,1,2,2,sgd,0.86,0.86,,16090
основная,0.1,a,2,3,1,2,2,sgd,0.9553333333333334,0.932,1.0,9098
основная,0.1,a,2,5,1,2,2,sgd,0.7913333333333333,0.7913333333333333,,11274
основная,0.1,a,2,7,1,2,2,sgd,0.11533333333333333,0.11533333333333333,,14538
основная,0.1,b,1,3,1,2,2,sgd,0.8873333333333333,0.8706666666666667,,16354
основная,0.1,b,1,5,1,2,2,sgd,0.858,0.858,,17506
основная,0.1,b,1,7,1,2,2,sgd,0.11533333333333333,0.11533333333333333,,19234
основная,0.1,b,2,3,1,2,2,sgd,0.11533333333333333,0.11533333333333333,,12002
основная,0.1,b,2,5,1,2,2,sgd,0.11533333333333333,0.11533333333333333,,19298
основная,0.1,b,2,7,1,2,2,sgd,0.23733333333333334,0.10066666666666667,,30242
свёртка и пуллинг,0.01,a,2,5,1,2,2,sgd,0.9693333333333334,0.9693333333333334,1.0,11274
свёртка и пуллинг,0.01,a,2,5,1,2,3,sgd,0.9453333333333334,0.9406666666666667,3.0,4874
свёртка и пуллинг,0.01,a,2,5,1,3,2,sgd,0.9773333333333334,0.964,1.0,9194
свёртка и пуллинг,0.01,a,2,5,1,3,3,sgd,0.964,0.9613333333333334,2.0,4874
свёртка и пуллинг,0.01,a,2,5,2,2,2,sgd,0.9366666666666666,0.926,3.0,4074
свёртка и пуллинг,0.01,a,2,5,2,2,3,sgd,0.8933333333333333,0.8906666666666667,,3594
свёртка и пуллинг,0.01,a,2,5,2,3,2,sgd,0.9473333333333334,0.9473333333333334,5.0,3594
свёртка и пуллинг,0.01,a,2,5,2,3,3,sgd,0.9453333333333334,0.9346666666666666,3.0,4074
оптимизатор,0.001,a,2,5,1,2,2,adam,0.9573333333333334,0.9573333333333334,2.0,11274
оптимизатор,0.003,a,2,5,1,2,2,adam,0.9706666666666667,0.9673333333333334,1.0,11274
оптимизатор,0.01,a,2,5,1,2,2,sgd,0.9693333333333334,0.9693333333333334,1.0,11274
