stage,dataset,kind,n_blocks,channels,ks,bn,dropout,lr,head,train_acc,val_acc,params
глубина,FashionMNIST,plain,2,24,3,True,0.0,0.05,(),0.876,0.8393333333333334,63562
глубина,FashionMNIST,plain,4,24,3,True,0.0,0.05,(),0.8825,0.8486666666666667,115834
глубина,FashionMNIST,plain,6,24,3,True,0.0,0.05,(),0.855,0.8326666666666667,168106
глубина,FashionMNIST,plain,8,24,3,True,0.0,0.05,(),0.846,0.8333333333333334,220378
глубина,FashionMNIST,residual,2,24,3,True,0.0,0.05,(),0.8645,0.8413333333333334,63562
глубина,FashionMNIST,residual,4,24,3,True,0.0,0.05,(),0.83,0.8166666666666667,115834
глубина,FashionMNIST,residual,6,24,3,True,0.0,0.05,(),0.85275,0.8326666666666667,168106
глубина,FashionMNIST,residual,8,24,3,True,0.0,0.05,(),0.85925,0.848,220378
глубина,FashionMNIST,bottleneck,2,24,3,True,0.0,0.05,(),0.83975,0.8233333333333334,14674
глубина,FashionMNIST,bottleneck,4,24,3,True,0.0,0.05,(),0.84725,0.828,18058
глубина,FashionMNIST,bottleneck,6,24,3,True,0.0,0.05,(),0.81375,0.7953333333333333,21442
глубина,FashionMNIST,bottleneck,8,24,3,True,0.0,0.05,(),0.8545,0.814,24826
bn и dropout,FashionMNIST,residual,8,24,3,True,0.0,0.05,(),0.85925,0.848,220378
bn и dropout,FashionMNIST,residual,8,24,3,True,0.2,0.05,(),0.8485,0.8226666666666667,220378
bn и dropout,FashionMNIST,residual,8,24,3,True,0.5,0.05,(),0.828,0.8166666666666667,220378
bn и dropout,FashionMNIST,residual,8,24,3,False,0.0,0.05,(),0.82525,0.818,219082
bn и dropout,FashionMNIST,residual,8,24,3,False,0.2,0.05,(),0.832,0.824,219082
bn и dropout,FashionMNIST,residual,8,24,3,False,0.5,0.05,(),0.8075,0.802,219082
каналы и lr,FashionMNIST,residual,8,16,3,True,0.0,0.01,(),0.90075,0.8386666666666667,98538
каналы и lr,FashionMNIST,residual,8,16,3,True,0.0,0.05,(),0.859,0.8386666666666667,98538
каналы и lr,FashionMNIST,residual,8,16,3,True,0.0,0.1,(),0.85025,0.83,98538
каналы и lr,FashionMNIST,residual,8,24,3,True,0.0,0.01,(),0.8975,0.8446666666666667,220378
каналы и lr,FashionMNIST,residual,8,24,3,True,0.0,0.05,(),0.85925,0.848,220378
каналы и lr,FashionMNIST,residual,8,24,3,True,0.0,0.1,(),0.82425,0.8173333333333334,220378
каналы и lr,FashionMNIST,residual,8,32,3,True,0.0,0.01,(),0.9145,0.8533333333333334,390602
каналы и lr,FashionMNIST,residual,8,32,3,True,0.0,0.05,(),0.89425,0.866,390602
каналы и lr,FashionMNIST,residual,8,32,3,True,0.0,0.1,(),0.8445,0.83,390602
ядро,FashionMNIST,residual,8,32,3,True,0.0,0.05,(),0.89425,0.866,390602
ядро,FashionMNIST,residual,8,32,5,True,0.0,0.05,(),0.87175,0.846,1045962
ядро,FashionMNIST,residual,8,32,7,True,0.0,0.05,(),0.837,0.8146666666666667,2029002
голова,FashionMNIST,residual,8,32,3,True,0.0,0.05,(),0.89425,0.866,390602
голова,FashionMNIST,residual,8,32,3,True,0.0,0.05,"(64,)",0.83125,0.82,394762
голова,FashionMNIST,residual,8,32,3,True,0.0,0.05,"(128,)",0.856,0.846,399562
голова,FashionMNIST,residual,8,32,3,True,0.0,0.05,"(128, 64)",0.7845,0.782,407178
