stage,dataset,model,latent,hidden,noise,level,epochs,lr,mse_noisy,ssim_noisy,mse_clean,ssim_clean,params
латент,MNIST,AE,2,"(256,)",нормальный,0.3,20,0.001,0.04877817630767822,0.4210186278949744,0.049646005034446716,0.41637976784624847,403730
латент,MNIST,AE,4,"(256,)",нормальный,0.3,20,0.001,0.03603631258010864,0.575278793638383,0.044405821710824966,0.5919329835372619,404756
латент,MNIST,AE,8,"(256,)",нормальный,0.3,20,0.001,0.027453312650322914,0.6825577189541896,0.036105263978242874,0.6468066440926076,406808
латент,MNIST,AE,16,"(256,)",нормальный,0.3,20,0.001,0.020765747874975204,0.7483971698402486,0.032674264162778854,0.6481005970549012,410912
латент,MNIST,AE,32,"(256,)",нормальный,0.3,20,0.001,0.016528770327568054,0.792353432023906,0.028924357146024704,0.6691775514224753,419120
латент,MNIST,AE,64,"(256,)",нормальный,0.3,20,0.001,0.01536298356950283,0.8045384104152344,0.028926413506269455,0.6774448585943705,435536
латент,MNIST,VAE,2,"(256,)",нормальный,0.3,20,0.001,0.049433205276727676,0.3973376300451507,0.053334563970565796,0.37732830189179034,404244
латент,MNIST,VAE,4,"(256,)",нормальный,0.3,20,0.001,0.038172561675310135,0.5207526014067806,0.04186369851231575,0.5454005091180107,405784
латент,MNIST,VAE,8,"(256,)",нормальный,0.3,20,0.001,0.02923760935664177,0.6082442817066606,0.036167219281196594,0.6199225332401511,408864
латент,MNIST,VAE,16,"(256,)",нормальный,0.3,20,0.001,0.02788720279932022,0.6109416699320207,0.03524361178278923,0.5954551537512119,415024
латент,MNIST,VAE,32,"(256,)",нормальный,0.3,20,0.001,0.029015764594078064,0.5905106922059593,0.03538333252072334,0.5838795411521159,427344
латент,MNIST,VAE,64,"(256,)",нормальный,0.3,20,0.001,0.030407395213842392,0.5559707719652979,0.03652554377913475,0.5421927890917152,451984
шум,MNIST,AE,64,"(256,)",равномерный,0.2,20,0.001,0.010956979356706142,0.8609977661716091,0.023598643019795418,0.7086840131737754,435536
шум,MNIST,AE,64,"(256,)",равномерный,0.4,20,0.001,0.013506906107068062,0.8288067412915946,0.030098523944616318,0.6571907513398068,435536
шум,MNIST,AE,64,"(256,)",нормальный,0.2,20,0.001,0.012813492678105831,0.8374241016842875,0.025292452424764633,0.7050635714803973,435536
шум,MNIST,AE,64,"(256,)",нормальный,0.4,20,0.001,0.018523577600717545,0.7651960707072366,0.030892129987478256,0.658422203925849,435536
шум,MNIST,AE,64,"(256,)",пятна,0.2,20,0.001,0.017239950597286224,0.7783272542039427,0.013157510198652744,0.8400334547627614,435536
шум,MNIST,AE,64,"(256,)",пятна,0.4,20,0.001,0.03474168851971626,0.5879866620276142,0.02352970466017723,0.747337849935955,435536
шум,MNIST,VAE,64,"(256,)",равномерный,0.2,20,0.001,0.025992071256041527,0.5916910705705745,0.0329032801091671,0.5261090030118778,451984
шум,MNIST,VAE,64,"(256,)",равномерный,0.4,20,0.001,0.02883361652493477,0.5631173677971788,0.037791818380355835,0.5110073233561877,451984
шум,MNIST,VAE,64,"(256,)",нормальный,0.2,20,0.001,0.027783522382378578,0.5745212787678088,0.033341314643621445,0.5404234545313762,451984
шум,MNIST,VAE,64,"(256,)",нормальный,0.4,20,0.001,0.033326294273138046,0.5143159805198895,0.04040335863828659,0.5332427815195169,451984
шум,MNIST,VAE,64,"(256,)",пятна,0.2,20,0.001,0.031702104955911636,0.5316591624075113,0.028836390003561974,0.6112833578074492,451984
шум,MNIST,VAE,64,"(256,)",пятна,0.4,20,0.001,0.04708705469965935,0.3898236911325761,0.0417206771671772,0.5389839624854982,451984
архитектура,MNIST,AE,64,"(128,)",нормальный,0.3,20,0.001,0.02026185393333435,0.7472063954198708,0.03730672597885132,0.610825430309584,218192
архитектура,MNIST,AE,64,"(256,)",нормальный,0.3,20,0.001,0.01536298356950283,0.8045384104152344,0.028926413506269455,0.6774448585943705,435536
архитектура,MNIST,AE,64,"(512, 256)",нормальный,0.3,20,0.001,0.020475728437304497,0.766987608316588,0.027024708688259125,0.728729722239099,1100112
архитектура,MNIST,AE,64,"(512, 256, 128)",нормальный,0.3,20,0.001,0.02710515260696411,0.7006391424568397,0.035644665360450745,0.6819360041771951,1149520
архитектура,MNIST,VAE,64,"(128,)",нормальный,0.3,20,0.001,0.03619396314024925,0.4870526162385936,0.04256031662225723,0.4726769599715067,226448
архитектура,MNIST,VAE,64,"(256,)",нормальный,0.3,20,0.001,0.030407395213842392,0.5559707719652979,0.03652554377913475,0.5421927890917152,451984
архитектура,MNIST,VAE,64,"(512, 256)",нормальный,0.3,20,0.001,0.0408192053437233,0.5146928684411539,0.04125463217496872,0.5088688375962186,1116560
архитектура,MNIST,VAE,64,"(512, 256, 128)",нормальный,0.3,20,0.001,0.04984357953071594,0.39288023652538673,0.053465280681848526,0.4009405844817534,1157776
обучение,MNIST,AE,64,"(256,)",нормальный,0.3,10,0.0003,0.032294150441884995,0.5763221659765982,,,435536
обучение,MNIST,AE,64,"(256,)",нормальный,0.3,20,0.0003,0.02298150584101677,0.7022289920199789,,,435536
обучение,MNIST,AE,64,"(256,)",нормальный,0.3,40,0.0003,0.01637616567313671,0.7875195201472028,,,435536
обучение,MNIST,AE,64,"(256,)",нормальный,0.3,10,0.001,0.020845463499426842,0.7329559328747566,,,435536
обучение,MNIST,AE,64,"(256,)",нормальный,0.3,20,0.001,0.01536298356950283,0.8045384104152344,,,435536
обучение,MNIST,AE,64,"(256,)",нормальный,0.3,40,0.001,0.012572175823152065,0.8396530011995536,,,435536
обучение,MNIST,AE,64,"(256,)",нормальный,0.3,10,0.003,0.015856007114052773,0.8098448517307308,,,435536
обучение,MNIST,AE,64,"(256,)",нормальный,0.3,20,0.003,0.013364982791244984,0.8368223774597945,,,435536
обучение,MNIST,AE,64,"(256,)",нормальный,0.3,40,0.003,0.01253464538604021,0.8520278393088995,,,435536
финал,MNIST,AE,64,"(256,)",нормальный,0.3,40,0.003,0.012380503118038177,0.8540742087122845,0.013570665381848812,0.852266738550384,435536
финал,MNIST,VAE,64,"(256,)",нормальный,0.3,40,0.003,0.025753099471330643,0.6665850222074924,0.031257014721632004,0.6700603453717995,451984
